Fuel,110,EG
Fuel,108,GE
Fuel,106,OU
Fuel,106,MD
Fuel,111,CU
Fuel,107,KO
Fuel,303,IY
Fuel,108,GI
Fuel,103,EE
Fuel,202,PW
Fuel,105,GX
Fuel,105,RX
Fuel,201,DE
Fuel,103,PS
Fuel,111,CT
Fuel,112,XJ
Fuel,105,YK
Fuel,106,NZ
Fuel,109,MQ
Fuel,207,RU
Fuel,107,NZ
Fuel,112,CK
Fuel,110,NE
Fuel,302,CU
Fuel,111,BA
Fuel,110,BQ
Fuel,103,UL
Fuel,104,RP
Fuel,104,DI
Fuel,210,PD
Fuel,101,MQ
Fuel,102,PW
Fuel,101,DM
Fuel,111,YI
Fuel,109,GJ
Fuel,107,PI
Fuel,112,VN
Fuel,204,BZ
Fuel,101,KD
Fuel,109,WH
Fuel,108,HN
Fuel,207,GP
Fuel,110,QF
Fuel,107,TM
Fuel,101,GM
Fuel,101,IQ
Fuel,109,ZU
Fuel,107,HM
Fuel,110,ZK
Fuel,112,BL
Fuel,102,LL
Fuel,108,QO
Fuel,302,DQ
Fuel,110,RF
Fuel,106,WU
Fuel,111,RH
Fuel,101,JM
Fuel,112,FE
Fuel,101,YB
Fuel,106,MI
Fuel,109,FW
Fuel,201,DO
Fuel,104,SX
Fuel,110,HV
Fuel,101,EK
Fuel,112,HR
Fuel,301,YJ
Fuel,112,JT
Fuel,109,FG
Fuel,105,EI
Fuel,104,TF
Fuel,105,UN
Fuel,102,SQ
Fuel,108,LW
Fuel,109,JC
Fuel,302,DO
Fuel,109,DU
Fuel,108,OB
Fuel,103,SE
Fuel,101,VR
Fuel,109,WJ
Groceries,104,ZB
Groceries,108,XY
Groceries,106,ZW
Groceries,112,OX
Groceries,306,SJ
Groceries,110,ZH
Groceries,112,TW
Groceries,111,DS
Groceries,101,JW
Groceries,106,LD
Groceries,105,KP
Groceries,104,DI
Groceries,109,MQ
Groceries,104,OE
Groceries,105,HV
Groceries,103,XU
Groceries,111,ID
Groceries,109,FT
Groceries,311,BZ
Groceries,108,IR
Groceries,101,DG
Groceries,107,LM
Groceries,102,TQ
Groceries,105,QV
Groceries,107,DP
Groceries,103,ZC
Groceries,206,AV
Groceries,107,KT
Groceries,111,YP
Groceries,111,PT
Groceries,110,NN
Groceries,104,ME
Groceries,101,HY
Groceries,109,CH
Groceries,102,LT
Groceries,105,JX
Groceries,112,FI
Groceries,108,EQ
Groceries,112,OC
Groceries,211,OO
Groceries,104,FL
Groceries,111,QI
Groceries,103,CV
Groceries,112,TZ
Groceries,111,WL
Groceries,108,VS
Groceries,101,TO
Groceries,103,GR
Groceries,206,CY
Groceries,304,ZX
Groceries,310,MI
Groceries,108,QJ
Groceries,110,LQ
Groceries,111,UA
Groceries,104,DN
Groceries,203,WN
Groceries,109,MK
Groceries,106,XR
Groceries,102,WN
Groceries,101,QW
Groceries,102,TF
Groceries,111,OQ
Groceries,312,CA
Groceries,111,MI
Groceries,210,PP
Groceries,210,AR
Groceries,303,ZB
Groceries,201,YO
Groceries,107,AL
Groceries,108,NT
Groceries,108,KZ
Groceries,102,JR
Groceries,110,DP
Groceries,104,KI
Groceries,110,EY
Groceries,110,BD
Groceries,107,WO
Groceries,110,OF
Groceries,208,DD
Groceries,107,FC
Groceries,101,QO
Groceries,206,WA
Groceries,107,PX
Groceries,103,WB
Groceries,308,GT
Groceries,107,UP
Groceries,107,GD
Groceries,110,UJ
Groceries,304,MU
Groceries,202,EL
Groceries,110,EQ
Groceries,102,HC
Groceries,102,BA
Groceries,206,GE
Groceries,103,KD
Groceries,105,IR
Groceries,105,ZV
Groceries,110,XU
Groceries,201,IO
Groceries,207,WL
